Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Age ci,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,https://doi.org/10.1101/2020.04.08.20057539,medrxiv,,,,,,,,,Retrospective observational,30.0,"DESIGN, SETTING, AND PARTICIPANTS Multicenter, retrospective cohort study of 564 consecutively hospitalized patients with confirmed COVID-19 at Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People's Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China in Hunan province from January 17, 2020 to February 28, 2020; The final date of follow-up was March 15, 2020.","Thirty patients were classified with severe pneumonia on admission and were excluded, to leave 534 patients with non-severe COVID-19 on admission for further analysis.","95% CI, -10 to -7; P < 0.001).

Characteristics Age (years) ACEI/ARB (n = 16) 57 (51 to 65) Non-ACEI/ARB (n = 49) 63 (53 to 69) Difference (95% CI) 5 (-1 to 12) P 0.106",2020-04-17
Age ci,2020-04-10,Compassionate Use of Remdesivir for Patients with Severe Covid-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169476/,N Engl J Med,,,,,,,,,Other,53.0,"This report is based on data from patients who received remdesivir during the period from January 25, 2020, through March 7, 2020, and have clinical data for at least 1 subsequent day.","CONCLUSIONS: In this cohort of patients hospitalized for severe Covid-19 who were treated with compassionate-use remdesivir, clinical improvement was observed in 36 of 53 patients (68%).","3B) and among patients 70 years of age or older (hazard ratio as compared with patients younger than 50 years, 0.29; 95% CI, 0.11 to 0.74) (Fig.

Risk of death was greater among patients who were 70 years of age or older (hazard ratio as compared with patients younger than 70 years, 11.34; 95% CI, 1.36 to 94.17) and among those with higher serum creatinine at baseline (hazard ratio per milligram per deciliter, 1.91; 95% CI, 1.22 to 2.99).",2020-05-12
Age ci,2020-04-10,Neutrophil-to-lymphocyte ratio as an independent risk factor for mortality in hospitalized patients with COVID-19,https://doi.org/10.1016/j.jinf.2020.04.002,Journal of Infection,,,,,,,,,Retrospective observational,245.0,"For this retrospective cohort study, COVID-19 patients who were admitted to Zhongnan Hospital of Wuhan University from January 1 to February 29, 2020 were consecutively included.","Results 245 COVID-19 patients were included in the final analyses, and the in-hospital mortality was 13.47%.","The univariate analysis indicated that age (OR = 1.09, 95% CI, 1.06-1.",2020-05-12
Age ci,2020-04-09,Obesity in patients younger than 60 years is a risk factor for Covid-19 hospital admission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184372/,Clin Infect Dis,,,,,,,,,Other,3615.0,"Patients who were PCR-positive for Covid-19 during March 4, 2020-April 4, 2020 were extracted from our electronic health record system and analyzed with a chisquare Wald test using SAS v9.4 (SAS Institute, Care NC).","Of the 3,615 individuals who tested positive for Covid-19, 775 (21%) had a body mass index (BMI) 30-34, and 595 (16% of the total cohort) had a BMI >35."," years were 2.2 (95% CI 1.7-2.9, p<.0001) and 3.6 (95% CI 2.5-5.3, p=<.0001) times more likely to be admitted to acute and critical care compared to patients in the same age category who had BMI <30.",2020-05-12
Age ci,2020-04-08,A model to predict SARS-CoV-2 infection based on the first three-month surveillance data in Brazil.,https://doi.org/10.1101/2020.04.05.20047944,medrxiv,,,,,,,,,Case series,1468.0,We included the patients reported between 11/01/2020 and 25/03/2020.,Results: We described 1468 COVID-19 cases (confirmed by RT-PCR) and 4271 patients with other illnesses.,"Variable Age (in years) OR (95% CI) 1 (0.98 - 1.02) p value 0.86

Variable Age * Fever b OR (95% CI) 1.03 (1 - 1.06) p value 0.03

Variable Age * Diarrhea b OR (95% CI) 1.07 (1.02 - 1.13) p value 0.01",2020-04-17
Age ci,2020-04-06,Widespread use of face masks in public may slow the spread of SARS CoV-2: an ecological study,https://doi.org/10.1101/2020.03.31.20048652,medrxiv,,,,,,,,,Systematic review,500.0,Countries with missing data were dropped from the analyses.,"Secondly, we only included countries 155 with at least 500 cumulative cases and countries whose first case was reported 156 before 7 March 2020.","0.07, 95% CI 0.05-0.08, P<0.001).

-326, 95% CI -601- -51, P=0.021).",2020-04-10
Age ci,2020-04-06,Differential COVID-19-attributable mortality and BCG vaccine use in countries,https://doi.org/10.1101/2020.04.01.20049478,medrxiv,,,,,,,,,Other,,We included data on BCG vaccine inclusion in national immunization schedules from the BCG World Atlas 14 .,"Population and economic data from 2018 (gross domestic product (GDP), and high, middle or low-income status) were derived from the World Bank Population Data and Open Data repository 13 .","Covariate Percentage of those aged 65 years and Estimate 1.08 95% CI 0.99, 1.17",2020-04-10
Age ci,2020-04-01,Forecasting the CoViD19 Diffusion in Italy and the Related Occupancy of Intensive Care Units,https://doi.org/10.1101/2020.03.30.20047894,medrxiv,,,,,,,,,Modeling,6355.0,"This paper employs the data related to COVID-19, collected and regularly updated by the Italian National Institute of Health (an agency of the Italian Ministry of Health) and by the Italian Civil Protection Department.","• The remaining southern regions (Abruzzo, Molise, Puglia, Basilicata, Calabria, Sicily and Sardinia) will show an upward trend in the number of future positive cases lasting until 6 April, where 6355 cases are predicted.",", 10) and CI * U (h = 2, .",2020-04-10
Age ci,2020-03-30,Clinical and Paraclinical Characteristics of COVID-19 patients: A systematic review and meta-analysis,https://doi.org/10.1101/2020.03.26.20044057,medrxiv,,,,,,,,,Systematic review,49504.0,"We searched databases of Web of Science, Scopus, and PubMed without any time limitation for publications up to March 13, 2020.","Out of selected papers, a total of 49504 patients infected with CoVID-19 with age ranged between 40 to 58 years old were included in our investigation.","Overall prevalence of these symptoms was 24% (95% CI, 13-34), 19% (95% CI, 11-27), 27% (95% CI, 12-42), 31% (95% CI, 14-48), 6% (95% CI, 2-9), 1% (95% CI, 0-2) and 6% (95% CI, 3-8) (Supplementary File and Table 2 ).

Meta-analysis findings are as follows respectively: 84% (95% CI, 79-88), 65% (95% CI, 59-71), and 14% (95% CI 8-19) ( Fig.

Pooling results were 26% (95% CI, 14-39), 24% (95% CI, 1-48), 4% (95% CI 1-6), 2% (95% CI, 0-3), and 39% (95% CI, 27-51) (Supplementary File and Table 2 ).",2020-04-03
Age ci,2020-03-30,Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19,https://doi.org/10.1101/2020.03.28.20045997,medrxiv,,,,,,,,,Retrospective observational,299.0,"Methods: We developed and internally validated a multivariable logistic regression model to predict inpatient mortality in COVID-19 positive patients using data collected retrospectively from Tongji Hospital, Wuhan (299 patients).",First cohort of 299 patients admitted in Tongji hospital within January and February 2020 were enrolled into this study for model development.,"The final multivariable model included age (adjusted OR 1·054; 95% CI 1·028 to 1·083), LDH (adjusted OR 1·004; 95% CI 1·002 to 1·006), log lymphocyte count (adjusted OR 0·296; 95% CI 0·148 to 0·541) and SpO2 (adjusted OR 0·897; 95% CI 0·831 to 0·958) ( Table 3 ).",2020-04-17
Age ci,2020-03-27,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.03.24.20042119,medrxiv,,,,,,,,,Retrospective observational,393.0,"Methods: Patients enrolled in this study were all hospitalized with COVID-19 in the Central Hospital of Wuhan, China.","Between January 1 and February 28, 2020, a total of 393 patients with COVID-19 were enrolled, but only 377 eligible participants were finally included in our analysis.","The independent risk factors for severe pneumonia were age [odds ratio (OR): 1.059, 95% confidence interval (CI): 1.036-1.082; p < 0.001], N/L (OR: 1.322, 95% CI: 1.180-1.481; p < 0.001), CRP (OR: 1.231, 95% CI: 1.129-1.341; p = 0.002), and D-dimer (OR: 1.059, 95% CI: 1.013-1.107; p = 0.011).

1.036-1.082; p < 0.001], N/L (OR: 1.322, 95% CI: 1.180-1.481; p < 0.001), CRP (OR: 1.231, 95% CI: 1.129-1.341; p = 0.002), and D-dimer (OR: 1.059, 95% CI: 1.013-1.107l p = 0.001) ( Table 2) .",2020-04-03
Age ci,2020-03-27,"Quantifying treatment effects of hydroxychloroquine and azithromycin for COVID-19: a secondary analysis of an open label non-randomized clinical trial (Gautret et al, 2020)",https://doi.org/10.1101/2020.03.22.20040949,medrxiv,,,,,,,,,Non-randomized trial,6.0,Human infections with a novel coronavirus (SARS-CoV-2) were first identified via syndromic surveillance in December of 2019 in Wuhan China.,Data for the six patients who were lost-to-follow-up (LTF) were manually entered into a database.,"variable Age Years RR 1.009 95% CI 0.996 - 1.022 p-value  0.176

variable Age Years OR 0.981 95% CI 0.939 - 1.025 p-value  0.399

variable Sex  RR 95% CI p-value

variable Female RR 0.585 95% CI 0.335 - 0.963 p-value  0.176

variable Sex  OR 95% CI p-value

variable Male RR reference 95% CI - p-value  -

variable Female OR 0.971 95% CI 0.168 - 5.622 p-value  0.974

variable Male OR reference 95% CI - p-value  -",2020-04-17
Age ci,2020-03-27,Radiographic Findings and other Predictors in Adults with Covid-19,https://doi.org/10.1101/2020.03.23.20041673,medrxiv,,,,,,,,,Retrospective observational,128.0,"We retrospectively reviewed records of all laboratory-confirmed patients admitted to a quarantine unit at Tongji Hospital, a large regional hospital in Wuhan, China, between January 31 and March 5, 2020.",A total of 128 patients were admitted.,"Univariable OR (95% CI) p value OR (95% CI)

Univariable OR (95% CI) p Multivariable value OR (95% CI) p value

Age, years* Univariable 1.07(1.02-1.11) p value 0.006 Multivariable p value 1.063(1.006-1.124) 0.031

Female sex (vs male) Univariable 0.45(0.13-1.52) p value 0.196 Multivariable p value",2020-04-03
Age ci,2020-03-27,History of Coronary Heart Disease Increases the Mortality Rate of Coronavirus Disease 2019 (COVID-19) Patients: A Nested Case-Control Study Based on Publicly Reported Confirmed Cases in Mainland China,https://doi.org/10.1101/2020.03.23.20041848,medrxiv,,,,,,,,,Case series,146.0,We routinely searched for daily news and public health reports on confirmed COVID-19 cases in all areas in mainland China outside of Hubei Province.,"A total of 321 publicly reported confirmed cases (146 cases and 175 controls) with trackable time-to-death information and history of comorbidities were collected between December 18th, 2019 and March 8th, 2020.","OR (95% CI) P Value OR (95% CI) Multivariate P Value OR (95% CI) P Value

HR (95% CI) Univariate P Value CI) P Value Multivariate HR (95% CI) P Value HR (95% CI) P Value",2020-04-10
Age ci,2020-03-27,"Lactate dehydrogenase, a Risk Factor of Severe COVID-19 Patients",https://doi.org/10.1101/2020.03.24.20040162,medrxiv,,,,,,,,,Retrospective observational,47.0,"METHODS We extracted data regarding 47 patients with confirmed COVID-19 from Renmin Hospital of Wuhan University between February 1 and February 18, 2020.","METHODS We extracted data regarding 47 patients with confirmed COVID-19 from Renmin Hospital of Wuhan University between February 1 and February 18, 2020.",Univariable OR (95% CI) P value Multivariable OR P value (95% CI),2020-04-03
Age ci,2020-03-23,Chinese and Italian COVID-19 outbreaks can be correctly described by a modified SIRD model,https://doi.org/10.1101/2020.03.19.20039388,medrxiv,,,,,,,,,Other,30000.0,"However, the data reported in for the Italian case are retrieved from , making the use of both the databases interchangeable.","This caused many deaths in Italy (>20,000) and many other are expected, overcoming 30,000 cases.",of 7.09 (90% CI: 5.84-8.35).,2020-05-01
Age ci,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,Systematic review,30.0,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.","Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","In support, COVID-19 related death was associated with old age ( ≥ 60 yrs, RR = 9.45; 95% CI, 8.09-11.04), male (RR = 1.67, 95% CI, 1.47-1.89) and any comorbidity (5.86; 95% CI, ), most notably CVD (6.75; 95% CI, 5.40-8.43) followed by hypertension (4.48; 95% CI, ) and diabetes (4.43; 95% CI, ).

Severe cases presented with older age (54.5 yrs; [95% CI, vs. 44.5 yrs; [95% CI, 42.0-47.1 yrs], P < 0.001) and higher ratio of male (59.7%; [95% CI, 55.0-64.3%] vs. 51.9; [95% CI, 46.6-57.2%], P < 0.001), as compared with non-severe cases.

[95% CI, 4.6-7.3%] vs. 0.1%; [95% CI, 0-0.2%], P < 0.001).

Among the baseline characteristics, disease severity was highly associated with old age (≥ 50 yrs, OR = 2.609; 95% CI, 2.288-2.976; n = 5; I 2 = 37%), male (OR =1.348; 95% CI, 1.195-1.521; n = 13; I 2 = 0%), smoking (OR =1.734; 95% CI, 1.146-2.626; n = 4; I 2 = 0%) and any All rights reserved.

comorbidity (OR = 2.635; 95% CI, 2.098-3.309; n = 7; I 2 = 12%).

Meanwhile, old age (≥ 60 yrs, RR = 9.45; 95% CI, 8.09-11.04), followed by cardiovascular disease (RR = 6.75; 95% CI, 5.40-8.43) hypertension (RR = 4.48; 95% CI, 3.69-5.45) and diabetes (RR = 4.43; 95% CI, 3.49-5.61) were found to be independent prognostic factors for the COVID-19 related death.

The predictor for disease severity included old age (≥ 50 yrs, odds ratio [OR] = 2.61; 95% CI, 2.29-2.98), male (OR =1.348, 95% CI, 1.195-1.521), smoking (OR =1.734, 95% CI, 1.146-2.626) and any comorbidity (OR = 2.635, 95% CI, 2.098-3.309), especially chronic kidney disease (CKD, OR = 6.017; 95% CI, 2.192-16.514), chronic obstructive pulmonary disease (COPD, OR = 5.323; 95% CI, 2.613-10.847) and cerebrovascular disease (OR = 3.219; 95% CI, 1.486-6.972).

The pooled incidence of severity and mortality were 20.2% (95% CI, 15.1-25.2%) and 3.1% (95% CI, 1.9-4.2%), respectively.

Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).

Fever (79.1%; 95% CI, 68.0-90.3%), cough (58.0%; 95% CI, 42.0-74.0%) and fatigue (29.3%; 95% CI, 23.",2020-03-27
Age ci,2020-03-18,Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081524/,Crit Care,,,,,,,,,Other,487.0,"Clinical outcomes were followed up to February 17, 2020.","A total of 487 COVID-19 patients were included for analysis, with 49 (10.1%) severe cases at admission.","On multivariate analysis, elder age (OR 1.06 [95% CI 1.03–1.08], P < 0.001), male (OR 3.68 [95% CI 1.75–7.75], P = 0.001), and presence of hypertension (OR 2.71 [95% CI 1.32–5.59], P = 0.007) are independently associated with severe disease at admission, irrespective of adjustment of time to admission.

On multivariate analysis, elder age (OR 1.06 [95% CI 1.03-1.08], P < 0.001), male (OR 3.68 [95% CI 1.75-7.75], P = 0.001), and presence of hypertension (OR 2.71 [95% CI 1.32-5.59], P = 0.007) are independently associated with severe disease at admission, irrespective of adjustment of time to admission.",2020-03-27
Age ci,2020-03-15,COVID-19: what has been learned and to be learned about the novel coronavirus disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098028/,Int J Biol Sci,,,,,,,,,Other,10.0,"On January 15, 2020 the first fatal case from Wuhan was reported .","Based on this, plasma was collected from the blood of a group of patients who recovered from COVID-19 and was injected into 10 seriously ill patients."," The mortality of patients with confirmed cases was 1.44% (95% CI: 1.10-1.86%), and the adjusted mortality of all the patients was 3.06% (95% CI: 2.02-4.59%).",2020-04-03
